datetime,ph
5/22/24 9:50,7.03
5/22/24 9:55,7.02
5/22/24 10:00,7.02
5/22/24 10:05,7.02
5/22/24 10:10,7.01
5/22/24 10:15,7.01
5/22/24 10:20,7.01
5/22/24 10:25,7.01
5/22/24 10:30,7.01
5/22/24 10:35,7
5/22/24 10:40,7
5/22/24 10:45,7
5/22/24 10:50,7.01
5/22/24 10:55,7
5/22/24 11:00,7
5/22/24 11:05,7
5/22/24 11:10,7
5/22/24 11:15,7
5/22/24 11:20,7
5/22/24 11:25,7
5/22/24 11:30,7
5/22/24 11:35,6.99
5/22/24 11:40,6.99
5/22/24 11:45,7
5/22/24 11:50,6.99
5/22/24 11:55,6.99
5/22/24 12:00,7
5/22/24 12:05,6.99
5/22/24 12:10,6.99
5/22/24 12:15,6.99
5/22/24 12:20,6.99
5/22/24 12:25,6.97
5/22/24 12:30,6.8
5/22/24 12:35,6.81
5/22/24 12:40,6.81
5/22/24 12:45,6.81
5/22/24 12:50,6.81
5/22/24 12:55,6.82
5/22/24 13:00,6.82
5/22/24 13:05,6.82
5/22/24 13:10,6.82
5/22/24 13:15,6.82
5/22/24 13:20,6.82
5/22/24 13:25,6.82
5/22/24 13:30,6.82
5/22/24 13:35,7.1
5/22/24 13:40,7.52
5/22/24 13:45,7.54
5/22/24 13:50,7.55
5/22/24 13:55,7.57
5/22/24 14:00,7.59
5/22/24 14:05,7.61
5/22/24 14:10,7.71
5/22/24 14:15,7.69
5/22/24 14:20,7.68
5/22/24 14:25,7.68
5/22/24 14:30,7.68
5/22/24 14:35,7.68
5/22/24 14:40,7.67
5/22/24 14:45,7.68
5/22/24 14:50,7.67