State,Deaths,Population,"Deaths per 100,000 population",Vehicle miles traveled (millions),Deaths per 100 million vehicle miles traveled
Alabama,953,4887871,19.5,71167,1.34
Alaska,80,737438,10.8,5487,1.46
Arizona,1010,7171646,14.1,66145,1.53
Arkansas,516,3013825,17.1,36675,1.41
California,3563,39557045,9,348796,1.02
Colorado,632,5695564,11.1,53954,1.17
Connecticut,294,3572665,8.2,31596,0.93
Delaware,111,967171,11.5,10179,1.09
District of Columbia,31,702455,4.4,3691,0.84
Florida,3133,21299325,14.7,221816,1.41
Georgia,1504,10519475,14.3,131456,1.14
Hawaii,117,1420491,8.2,10887,1.07
Idaho,231,1754208,13.2,17709,1.3
Illinois,1031,12741080,8.1,107954,0.96
Indiana,858,6691878,12.8,81529,1.05
Iowa,318,3156145,10.1,33282,0.96
Kansas,404,2911505,13.9,32190,1.26
Kentucky,724,4468402,16.2,49544,1.46
Louisiana,768,4659978,16.5,50045,1.53
Maine,137,1338404,10.2,14784,0.93
Maryland,501,6042718,8.3,59775,0.84
Massachusetts,360,6902149,5.2,66772,0.54
Michigan,974,9995915,9.7,102398,0.95
Minnesota,381,5611179,6.8,60438,0.63
Mississippi,664,2986530,22.2,40730,1.63
Missouri,921,6126452,15,76595,1.2
Montana,182,1062305,17.1,12700,1.43
Nebraska,230,1929268,11.9,20975,1.1
Nevada,330,3034392,10.9,28319,1.17
New Hampshire,147,1356458,10.8,13776,1.07
New Jersey,564,8908520,6.3,77539,0.73
New Mexico,391,2095428,18.7,27288,1.43
New York,943,19542209,4.8,123510,0.76
North Carolina,1437,10383620,13.8,121127,1.19
North Dakota,105,760077,13.8,9856,1.07
Ohio,1068,11689442,9.1,114474,0.93
Oklahoma,655,3943079,16.6,45433,1.44
Oregon,506,4190713,12.1,36848,1.37
Pennsylvania,1190,12807060,9.3,102109,1.17
Rhode Island,59,1057315,5.6,8009,0.74
South Carolina,1037,5084127,20.4,56801,1.83
South Dakota,130,882235,14.7,9719,1.34
Tennessee,1041,6770010,15.4,81321,1.28
Texas,3642,28701845,12.7,282037,1.29
Utah,260,3161105,8.2,32069,0.81
Vermont,68,626299,10.9,7346,0.93
Virginia,820,8517685,9.6,85336,0.96
Washington,546,7535591,7.2,62367,0.88
West Virginia,294,1805832,16.3,19447,1.51
Wisconsin,588,5813568,10.1,65885,0.89
Wyoming,111,577737,19.2,10438,1.06